Accion;alpha;beta;omega
ALUA;7,3113E-07;1,29715E-64;1,23296E-06
BBAR;0,025825957;4,74472E-29;0,012248212
BMA;0,009136582;0;0,00907023
BYMA;0,000463655;1,83388E-14;
CEPU;0,001249345;1,5165E-288;0,0275565
COME;0,000706228;4,48239E-43;5,03917E-05
CRES;7,92949E-05;0;0,000934856
EDN;0,000118117;4,76479E-15;0,018356859
GGAL;4,58658E-07;0;
LOMA;0,013728544;1,93498E-10;0,030715235
METR;0,003023141;3,72938E-21;
PAMP;0,038727676;0;0,024742329
SUPV;1,27585E-05;0;0,022308792
TECO2;0,002718723;2,1672E-121;0,002064245
TGNO4;1,06237E-05;2,6004E-131;0,00018234
TGSU2;;4,81593E-05;
TRAN;0,003903006;7,01154E-37;2,84379E-05
TXAR;0,00037499;2,85987E-59;0,000603219
VALO;0,004563522;1,55122E-62;8,32703E-05
YPFD;2,54783E-05;3,05532E-39;0,00018593
